Open|High|Low|Volume|Google Trending|Close
512.19|520.71|510.92|22648500|43|511.15
510.88|516.16|506.88|19862000|45|507.81
508.43|511.69|503.82|17624800|43|508.52
508.59|509.31|501.64|9424070|43|504.25
502.9|504.88|474.81|44632300|47|477.76
477.79|485.31|471.91|20432000|53|474.88
474.48|482.99|472.32|23337900|51|477.43
476.87|481.71|476.21|13342200|50|477.59
477.68|493.93|477.09|26081400|51|489.66
489.67|490.64|481.61|15302500|49|483.34
483.34|488.6|483|10601400|46|484.83
485.13|488.07|482.28|8994050|43|482.28
481.81|489.83|468.79|30238000|46|474.6
474.88|477.38|467.78|21447800|55|475.26
475.48|487.47|475.14|22787800|62|479.36
479.62|482.35|474.61|16852900|66|479.75
479.58|479.63|473.01|15437200|52|477.75
477.79|482.12|475.1|15588000|43|479
479.12|479.85|476.12|13105500|46|477.89
477.76|478.62|474.02|15345200|50|475.37
474.86|475.64|465.13|16797300|46|466.06
465.86|468.17|452.42|21056800|46|457.33
456.86|456.86|413.1|34483200|50|424.44
424.1|427.83|384.53|37919700|56|394.8
394.67|423.3|389.88|36863600|47|408.9
408.08|412.43|393.18|26580100|47|398.82
399.1|406.92|397.13|24127600|47|402.15
402.09|441.56|396.2|45099500|55|435.79
435.75|436.11|421.13|30627700|60|423.2
423.16|423.52|409.47|26814400|49|411.57
411.43|414.94|400.01|21460800|44|404.43
403.56|406.62|397.37|15029300|42|399.52
399.47|401.02|374.33|23613300|45|377.18
376.93|385.21|372.24|32497700|52|375.47
376.09|390.98|373.44|34707300|52|386.94
387.43|391.38|380.78|26229400|48|383.62
383.99|385.5|372.95|21777700|47|375.07
375.18|377.69|357.86|30901200|50|359.51
359.89|364.49|325.89|47236500|53|328.87
328.92|341.8|289.3|83308100|61|320.51
320.39|345.13|302.56|79011800|67|330.08
330.58|339.25|320.48|49199900|57|336.19
336.12|354.36|327.19|54736300|57|352.94
352.75|382.73|347.69|83641100|55|365.03
364.69|375.07|352.96|43665700|52|361.56
361.36|367.19|355.95|13345200|47|362.3
362.61|379.43|356.14|17552800|45|378.55
377.92|397.23|368.9|35221400|48|390.41
391.69|411.7|391.32|38491500|54|400.87
400.95|402.23|388.77|25267100|51|394.77
394.52|398.81|373.07|26990000|47|382.56
382.76|385.48|375.39|13600700|47|383.76
383.98|395.16|378.97|11416800|44|391.44
391.25|393.94|386.46|5914570|41|389.55
389.23|390.08|378.25|16419000|43|382.85
382.42|392.65|380.83|14188900|45|386.48
386.12|388.58|382.25|11641300|43|383.16
382.96|385.05|356.45|26456900|45|358.42
358.59|364.35|353.31|15585700|44|358.35
358.61|359.86|342.88|18127500|41|347.27
347.49|359.22|343.93|11272500|42|354.7
354.78|358.63|349.81|13033000|41|352.99
353.21|359.98|352.68|7845880|44|357.62
357.09|357.83|335.34|18192700|44|335.59
335.71|350.91|335.07|30177900|43|345.31
345.01|348.05|337.14|12545400|38|338.32
338.65|340.53|321.06|16677200|41|325.75
326.07|329.05|320.63|8603620|40|325.89
325.57|334|325.48|12948500|43|327.55
327.16|331.77|325.08|15655500|42|330.49
330.68|343.37|330.68|19817200|44|339.49
339.46|352.97|338.42|18797000|51|349.29
349.82|352.73|341.78|16834200|48|342.42
342.15|347.03|342.15|8535470|45|345.49
345.38|363.63|344.25|24205600|46|363.26
362.26|374.82|357.56|30450100|53|366.92
365.86|371.31|363.74|15838900|49|367.69
367.99|429.72|367.99|45783200|55|423.56
427.27|457.09|401.12|58945000|60|420.74
418.42|419.25|384.79|29589200|52|397.82
399.65|405.53|371.01|15727500|47|376.13
374.73|390.8|374.6|11905600|46|387.88
388.35|410.2|377.5|41518800|47|387.41
387.79|392.4|371.12|32222500|50|375.2
373.9|386.48|373.9|18931800|46|380.56
380.31|382.02|356.78|25233200|45|357.84
357.88|357.88|344.11|29850100|43|350.85
351.6|364.84|350.88|15273000|42|352.92
353.18|370.85|353.18|15151600|40|367.57
366.95|387.21|366.67|30930100|45|376.9
376.89|394.7|374.78|25442200|43|375.35
376.02|377.7|365.82|18601700|43|368.37
370.5|373.99|368.28|8748030|41|369.67
369.37|382.84|358.45|22946500|40|376.45
376.15|387.6|372.14|15375600|38|375.49
375.51|382.53|373.31|9194440|38|378.05
378.25|383.66|376.67|11763000|42|379.25
379.25|384.04|377.86|12364100|46|381.31
381.72|383.03|374.35|13340100|45|375.01
375.72|378.65|367.76|14529600|44|369.6
369.44|379.19|365.76|15181800|41|376.85
376.76|378.45|370.94|7009320|40|374.79
374.84|376.29|373.27|6491650|44|375.1
374.96|376.03|361.89|18898700|47|361.91
361.89|363.07|344.95|32915500|44|352.22
352.2|352.38|346.37|16427700|45|346.37
344.34|361.36|338.76|32431300|63|350.51
350.83|352.98|349.29|16989800|57|352.54
352.38|352.38|346.59|11675900|48|347.38
346.73|353.32|345.42|12415200|45|351.63
351.36|351.81|344.93|17264200|47|345.35
345.67|345.86|327.06|30864900|54|327.06
326.86|333.95|315.15|37567900|53|319.78
319.79|323.71|304.23|39173000|52|311.4
311.18|318.53|306.77|23823100|44|317.84
317.62|330.32|316.04|20856700|42|329.96
329.54|329.63|318.9|15207600|46|320.84
321.07|334.12|320.43|22315100|45|331.89
332.02|336.29|329.6|16574200|45|334.57
334.38|334.74|321.36|15092300|42|322.53
322.29|322.67|316.96|9883640|44|319.01
319.15|331.42|316.63|16410500|51|327.92
327.58|328.91|312.63|15185200|100|315.86
316.16|320.03|311.08|11676600|44|317.24
317.7|320.27|312.31|12302500|43|312.67
312.72|314.81|309.37|12528300|43|310.74
310.91|320.19|310.21|13942900|45|320.19
320.44|320.44|314|8036550|46|314.25
314.08|315.84|313.56|7860650|55|315.03
314.85|315.15|281.08|33054400|58|281.08
281.15|287.23|257.61|55629100|68|264.19
265.08|278.34|265.08|43962800|64|274.47
274.61|287.55|272.7|23245700|75|286.19
286.08|298.75|283.08|24866800|59|294.34
294.13|294.13|282.18|19982500|55|283.35
282.38|291.11|280.53|18718600|58|290.41
287.3|288.13|273.97|15264300|55|274.8
274.61|279.64|265.04|18200800|53|265.66
266.15|272.2|265.2|18880300|51|267.8
267.39|268.28|219.91|72843900|67|225.86
223.89|223.89|171.51|97638700|100|178.1
176.9|229.07|176.9|81773500|85|209.84
209.07|221.59|199.77|38421000|71|208.1
207.83|211.73|194.88|23469700|60|199.26
200.05|218.69|194.51|30085100|58|210.34
211.47|216.73|207.32|18658300|54|214.86
212.91|215.24|205.15|24051100|57|211.31
211.38|227.79|211.21|29924600|59|226.9
227.32|237.02|226.43|33544600|58|233.41
233.52|234.84|225.2|24621700|56|232.88
232.7|248.21|230.02|24782500|53|247.85
247.35|255.07|243.89|33582700|54|253.72
254.08|309.38|254.08|106794000|76|273.47
273.17|275.48|250.65|44399000|66|263.48
263.35|266.54|227.05|44352200|62|233.91
233.35|238.71|220.71|32213400|60|233.51
232.77|242.85|225.84|26605200|53|226.43
226.44|233.5|216.31|23348200|49|217.46
216.87|231.57|212.01|29128500|52|226.97
226.49|242.18|222.66|30612100|50|238.23
237.45|245.96|224.48|40783700|55|227.27
227.51|230.06|221.11|26594300|52|226.85
227.66|239.41|214.72|22516400|56|217.11
216.92|230.51|216.23|24435300|53|222.27
222.63|230.3|222.61|21604200|60|227.75
227.69|229.44|221.08|17145200|62|223.41
223.39|223.98|217.02|27791300|61|220.11
220.28|221.81|215.33|21115100|61|219.84
219.73|223.41|218.07|17201900|59|219.19
219.21|222.2|217.61|15206200|54|221.76
221.97|240.26|221.26|42744400|53|235.43
235.53|259.81|235.53|49732500|51|257.32
257.51|265.61|227.68|56552400|52|234.82
234.82|239.52|229.02|28153700|55|233.84
233.42|245.78|232.31|27363100|53|243.61
243.78|244.25|232.34|25200800|55|236.33
236.41|242.67|235.59|18270500|57|240.28
