Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2017-11-28 14:15	9869.64	9870	9832	9839.43	51.59	508831.42	9863.81
2017-11-28 14:20	9839.44	9870.23	9832.23	9868.56	41.43	408523.64	9859.85
2017-11-28 14:25	9868.56	9870.21	9862.81	9868.69	25.58	252458.27	9869.32
2017-11-28 14:30	9868.69	9870.23	9842.05	9864.04	75.55	745080.91	9862.03
2017-11-28 14:35	9864.04	9877	9864.04	9877	39.65	391402.41	9871.07
2017-11-28 14:40	9877	9896	9873.88	9890	47.62	470632.48	9882.95
2017-11-28 14:45	9896	9896	9890.01	9890.1	16.29	161151.52	9893.14
2017-11-28 14:50	9896	9898.99	9890.01	9898	21.94	217133.19	9895.25
2017-11-28 14:55	9890.01	9900	9885.58	9899.9	31.66	313288.88	9895
2017-11-28 15:00	9890.01	9899.63	9885	9896.99	54.57	539795.19	9891.98
2017-11-28 15:05	9896.99	9896.99	9885.16	9893.99	22.69	224492.67	9893.28
2017-11-28 15:10	9893.99	9895	9875	9878.45	58.76	580921.11	9886.6
2017-11-28 15:15	9878.45	9878.45	9850	9871	60.23	594390.27	9867.97
2017-11-28 15:20	9871	9874.9	9850	9870.74	35.94	354515.45	9862.79
2017-11-28 15:25	9865	9875	9848	9864.99	60.38	595665.5	9865.43
2017-11-28 15:30	9864.99	9870	9855.55	9862	54.78	540321.1	9863.87
2017-11-28 15:35	9862.01	9864.03	9848	9860	91.72	904107.98	9857.41
2017-11-28 15:40	9860	9860	9848.1	9852.06	37.82	372881.1	9859.34
2017-11-28 15:45	9859.99	9882.87	9850.32	9882.86	70.67	697597.78	9871.8
2017-11-28 15:50	9882.87	9895.53	9871.09	9890	42.26	417658.82	9883.42
2017-11-28 15:55	9875.77	9899	9875.77	9899	31.88	315468.7	9896.29
2017-11-28 16:00	9899	9900	9890	9897.53	69.18	684763.41	9897.62
2017-11-28 16:05	9897.53	9899.99	9888	9889.9	42.17	417188.18	9892.18
2017-11-28 16:10	9889.89	9889.89	9874.85	9881.41	54.37	537386.46	9884.46
2017-11-28 16:15	9881.4	9889.65	9873.44	9875.01	44.01	434839.03	9880.96
2017-11-28 16:20	9880.21	9880.21	9873	9878.49	11.71	115664.55	9875.67
2017-11-28 16:25	9876.99	9876.99	9871	9871.1	34.47	340264.38	9872.65
2017-11-28 16:30	9871.1	9900	9871	9900	69.02	682517.69	9888.73
2017-11-28 16:35	9888.07	9900	9880.19	9899.89	40.49	400759.03	9896.65
2017-11-28 16:40	9899.73	9919.58	9880.12	9915	99.44	985643.8	9911.97
2017-11-28 16:45	9919.55	9919.58	9909	9916.89	39.56	392327.37	9917.28
2017-11-28 16:50	9909.01	9919.99	9899.42	9900	54.29	537991.76	9909.78
2017-11-28 16:55	9915.57	9915.57	9900.2	9910	17.46	173042.22	9909.32
2017-11-28 17:00	9914	9920	9902.56	9910	29.53	292877.82	9916.6
2017-11-28 17:05	9910	9920	9901.5	9919.5	21.98	217910.59	9914.54
2017-11-28 17:10	9919.5	9919.99	9900.8	9901.11	31.17	308833.7	9908.41
2017-11-28 17:15	9900.56	9908	9892	9894.99	24.51	242650.83	9900.06
2017-11-28 17:20	9894.99	9895	9887.91	9890	10.58	104642.04	9892.06
2017-11-28 17:25	9890	9895	9888.18	9894.99	10.11	100065.67	9893.88
2017-11-28 17:30	9894.99	9900	9889.49	9900	36.78	363937.79	9895.41
2017-11-28 17:35	9900	9910	9892.55	9900.97	67.97	673035.22	9901.69
2017-11-28 17:40	9900.97	9915	9896.72	9915	30.39	301116.36	9909.27
2017-11-28 17:45	9915	9915	9900	9913.91	5.11	50635.06	9909.62
2017-11-28 17:50	9909.98	9918	9903.08	9918	23.86	236564.28	9913.18
2017-11-28 17:55	9918	9920	9900.2	9920	42.78	424250.67	9917.57
2017-11-28 18:00	9920	9920	9912.56	9913.01	43.33	429798.24	9919.73
2017-11-28 18:05	9920	9920	9912.9	9920	27.68	274552.29	9919.55
2017-11-28 18:10	9920	9920	9912.9	9916.99	23.54	233445.35	9916.59
2017-11-28 18:15	9916.99	9917	9912.9	9917	16.65	165095.44	9915.96
2017-11-28 18:20	9917	9929.81	9912.9	9929	35.01	347466.56	9925.08
2017-11-28 18:25	9929	9935.55	9929	9935	55.54	551607.23	9932.32
2017-11-28 18:30	9935	9949	9931.69	9948.99	102.93	1023348.9	9941.85
2017-11-28 18:35	9948.99	9965	9943	9960	154.95	1542007.74	9951.69
2017-11-28 18:40	9962.98	9968	9930	9930	81.67	812699.83	9951.46
2017-11-28 18:45	9939.73	9960.03	9937.41	9954.88	14.54	144684.36	9950.89
2017-11-28 18:50	9957.1	9958	9930.1	9952.9	117.66	1171037.16	9952.5
2017-11-28 18:55	9952.91	9956.9	9941	9949.37	22.03	219204.65	9948.14
2017-11-28 19:00	9952.94	9957	9941	9952.12	66.37	660263.18	9948.62
2017-11-28 19:05	9955.29	9955.29	9901	9939.59	134.63	1337150.63	9932
2017-11-28 19:10	9939.59	9939.7	9848	9868.79	151.73	1498440.55	9875.86
2017-11-28 19:15	9868.85	9916.26	9868.85	9880.05	138.11	1366953.54	9897.89
2017-11-28 19:20	9890.6	9900	9868.92	9900	34.56	341444.38	9880.5
2017-11-28 19:25	9899.99	9921.95	9899.85	9918.29	18.47	182917.13	9901.66
2017-11-28 19:30	9918.27	9963.48	9899.91	9941.6	112.97	1122774.48	9938.31
2017-11-28 19:35	9951.6	9966.4	9927.87	9949.96	51.07	508430.99	9956.45
2017-11-28 19:40	9949.96	9958	9930.22	9940	18.33	182229.78	9942.61
2017-11-28 19:45	9940	9957.54	9926.14	9934	28.88	286894.22	9934.26
2017-11-28 19:50	9933.95	9940	9926.13	9939.99	32.11	318980.15	9934.24
2017-11-28 19:55	9940	9949.99	9926.7	9948.99	20.49	203637.96	9940.5
2017-11-28 20:00	9930.11	9950	9930.02	9932.21	81.82	813933.05	9948.05
2017-11-28 20:05	9937.08	9949	9909	9911	37.52	372485.15	9927.88
2017-11-28 20:10	9929.98	9929.98	9911	9916.78	20.51	203409.88	9919.31
2017-11-28 20:15	9911	9920	9899.91	9920	43.55	431611.05	9910.1
2017-11-28 20:20	9920	9929.99	9865.39	9879.55	105.17	1039874	9887.38
2017-11-28 20:25	9879.56	9918.38	9870	9904.99	34.01	336458.06	9892.99
2017-11-28 20:30	9905.16	9919.58	9881.1	9912.92	41.35	409577.9	9905.16
2017-11-28 20:35	9912.83	9919.58	9892.96	9912.97	16.63	164908.98	9914.41
2017-11-28 20:40	9912.97	9919.58	9898	9919.57	30.72	304575.48	9915.74
2017-11-28 20:45	9919.58	9919.58	9874.6	9885.17	29.39	290945.25	9899.58
2017-11-28 20:50	9885.18	9906.64	9880	9881.01	39.87	394431.47	9893.61
2017-11-28 20:55	9881.01	9900	9848	9862.4	94.29	930928.87	9872.79
2017-11-28 21:00	9862.35	9880	9856.27	9875	60.75	599536.54	9868.51
2017-11-28 21:05	9879.97	9879.99	9862.11	9866.45	24.05	237412.92	9872.57
2017-11-28 21:10	9879.1	9900	9865.69	9900	54.99	543492.74	9882.71
2017-11-28 21:15	9892.87	9910	9874.22	9907.7	69.15	684794.54	9903.6
2017-11-28 21:20	9908.35	9919.45	9884.66	9915	46.81	463661.85	9904.79
2017-11-28 21:25	9914.9	9915	9887.13	9907.83	18.39	182170.13	9906.52
2017-11-28 21:30	9907.9	9929.99	9881.27	9929.99	61.64	611206.32	9916.4
2017-11-28 21:35	9929.99	9930	9903.05	9930	78.45	778884.96	9927.9
2017-11-28 21:40	9914.28	9929.95	9910	9927.98	42.39	420468.08	9919.72
2017-11-28 21:45	9927.57	9929	9911.08	9922.97	22.22	220498.61	9925.08
2017-11-28 21:50	9922.97	9930	9915.01	9925.02	30.01	297885.86	9927.3
2017-11-28 21:55	9925.02	9944.98	9910.34	9938.99	24.66	244890.66	9931.76
2017-11-28 22:00	9938.99	9938.99	9906.11	9919.33	25.52	253284.83	9925.95
2017-11-28 22:05	9920	9930	9902.22	9929	65.42	649019.13	9920.82
2017-11-28 22:10	9929	9949	9920.48	9949	31.53	313252.6	9934.45
2017-11-28 22:15	9949	9949	9917.99	9920.61	36.29	360767.64	9941.4
2017-11-28 22:20	9941.99	9942	9910.27	9939	43.5	432066.3	9932.91
2017-11-28 22:25	9935.3	9942	9910.77	9939.99	29.84	296461.7	9935
2017-11-28 22:30	9939.99	9940	9905.75	9925.88	8.6	85262.14	9916.9
2017-11-28 22:35	9915.05	9934.18	9906.72	9927	34.23	339667	9921.71
2017-11-28 22:40	9924.99	9944	9910.82	9944	53.44	531065.24	9937.82
2017-11-28 22:45	9944	9944	9920	9934.28	13.59	134976.06	9928.46
2017-11-28 22:50	9922	9939.81	9920	9925.01	20.28	201286.15	9923.91
2017-11-28 22:55	9927.99	9934.92	9890.79	9910.48	39.32	389565.79	9907.08
2017-11-28 23:00	9910.47	9910.47	9890	9909.18	19.99	197856.66	9899.14
2017-11-28 23:05	9909.17	9910	9886.59	9891.15	42.64	421940.33	9895.45
2017-11-28 23:10	9885.24	9897.3	9868.47	9868.47	98.54	973252.38	9877.15
2017-11-28 23:15	9869.62	9900	9869.62	9884.72	22.69	224244.37	9881.45
2017-11-28 23:20	9896.68	9896.68	9866.71	9879.99	41.92	414093.59	9877.08
2017-11-28 23:25	9877.27	9880	9857.64	9874.71	21.94	216466.58	9865.77
2017-11-28 23:30	9874.35	9880	9863.32	9865	16.5	162899.48	9872.06
2017-11-28 23:35	9865	9879.65	9857	9878.89	41.67	410756.14	9857.84
2017-11-28 23:40	9878.48	9878.48	9857.35	9859.61	7.94	78346.49	9863.91
2017-11-28 23:45	9878.08	9879.98	9857	9869.48	7.72	76143.15	9868.34
2017-11-28 23:50	9869.49	9879.99	9861.92	9879.94	22.48	221994.43	9873.61
2017-11-28 23:55	9879.94	9880	9855.15	9868.82	20.3	200213.5	9864.67
2017-11-29 0:00	9877.63	9880	9871.39	9880	13.31	131472.7	9877.49
2017-11-29 0:05	9880	9898.98	9872.11	9893.37	14.7	145281.36	9884.52
2017-11-29 0:10	9896.89	9899	9885.01	9885.01	14.94	147887.55	9896.83
2017-11-29 0:15	9898.39	9899	9885	9898.97	10.51	104001.95	9891.36
2017-11-29 0:20	9885.83	9899	9885.28	9899	10.6	104878	9895.94
2017-11-29 0:25	9899	9900	9866.97	9897.7	53.81	531953.12	9886.41
2017-11-29 0:30	9897.7	9909	9897.63	9908.99	46.62	461563.01	9900.16
2017-11-29 0:35	9900	9919.58	9900	9919.58	25.78	255559.52	9912.28
2017-11-29 0:40	9919.58	9919.58	9901	9911.56	11.42	113254.67	9914.47
2017-11-29 0:45	9911.56	9918	9902	9909	8.04	79628	9908.49
2017-11-29 0:50	9908.99	9909	9897.63	9904.99	19.92	197284.93	9902.91
2017-11-29 0:55	9904.99	9905	9897.63	9900	15.8	156436.1	9900.31
2017-11-29 1:00	9900	9919	9897.63	9913.92	39.1	387225.62	9904.57
2017-11-29 1:05	9918.99	9949.44	9913.93	9949.44	121.64	1208118.72	9932.11
2017-11-29 1:10	9949.44	9958	9919.13	9939.28	68.5	681553.57	9949.07
2017-11-29 1:15	9939.28	9956.48	9920.42	9953	8.29	82474.48	9948.83
2017-11-29 1:20	9953	9966.38	9941.16	9966.38	116.51	1160375.27	9959.46
2017-11-29 1:25	9966.38	9988	9950.32	9988	196.23	1957320.38	9974.54
2017-11-29 1:30	9988	9998.99	9982.5	9998.99	187.26	1871466.95	9994.05
2017-11-29 1:35	9998.99	9998.99	9919.58	9973.13	85.6	852439.59	9958.58
2017-11-29 1:40	9972.71	9974.58	9935.42	9974.58	10.95	109019.35	9957.12
2017-11-29 1:45	9974.58	9998.98	9968.88	9996.91	19.07	190497.56	9989.12
2017-11-29 1:50	9996.91	9998.98	9983.98	9998	26.16	261532.69	9996.35
2017-11-29 1:55	9991.22	9996.7	9969.35	9996.7	28.98	289317.55	9984.49
2017-11-29 2:00	9996.7	9998.99	9991.01	9994.18	48.97	489669.29	9998.7
2017-11-29 2:05	9998.99	9999	9993.98	9995	113.13	1131127.32	9998.37
2017-11-29 2:10	9998.99	9999	9987	9991	112.01	1119591.86	9995.59
2017-11-29 2:15	9990.99	9990.99	9970	9979.04	20.39	203451.12	9978.11
2017-11-29 2:20	9979.04	9998.5	9979.04	9998.43	18.26	182502.26	9995.98
2017-11-29 2:25	9998.43	9998.5	9994	9994.01	12.29	122848.97	9997.05
2017-11-29 2:30	9998	9999	9987	9999	47.53	475186.6	9998.54
